dataset,round,loss,auc,clients,local_epochs,clip_norm,noise_std,epsilon
movielens,1,0.674311478876735,0.545531094885747,10,1,1.0,0.015,0.5
movielens,2,0.6648835605193117,0.5786865318663956,10,1,1.0,0.015,0.5
movielens,3,0.6568046908839253,0.6088546766088598,10,1,1.0,0.015,0.5
movielens,4,0.6480350595307653,0.633413143270035,10,1,1.0,0.015,0.5
movielens,5,0.6399914361569135,0.6541891832022726,10,1,1.0,0.015,0.5
movielens,6,0.6325319320748518,0.6710956630356564,10,1,1.0,0.015,0.5
movielens,7,0.6255021902758127,0.6841734867318766,10,1,1.0,0.015,0.5
movielens,8,0.618769520100489,0.694195580536558,10,1,1.0,0.015,0.5
movielens,9,0.6131607322755925,0.7026715385815572,10,1,1.0,0.015,0.5
movielens,10,0.6080638350881767,0.7094604064947333,10,1,1.0,0.015,0.5
