dataset,round,loss,auc,clients,local_epochs
movielens,1,0.6744533476181405,0.5455809501299126,10,1
movielens,2,0.6649433698366264,0.5777183203632272,10,1
movielens,3,0.6565596361413735,0.6083630925706509,10,1
movielens,4,0.6480423776520928,0.6344463365516781,10,1
movielens,5,0.639719327232052,0.6553144953782488,10,1
movielens,6,0.6319926398822786,0.6714698039816438,10,1
movielens,7,0.6248138277625178,0.6845885316395544,10,1
movielens,8,0.6183003403855505,0.6953217425178326,10,1
movielens,9,0.6121923913978126,0.7038604161938444,10,1
movielens,10,0.6071476507030998,0.7097741546108566,10,1
movielens,11,0.6022004961022986,0.7150296904975113,10,1
movielens,12,0.5983452933471867,0.7199960659680058,10,1
